19.04.2023                              Salida dinámica de lista                                                                                   1


 Cta.mayor				*
 Sociedad				GV01


		 St	Asignación		Nº doc.	Fecha doc.	Fe.contab.	CT	Importe en ML	ML	Texto	   ImpteML2	ML2

			COMPENSACIONES		113064804	14.04.2023	14.04.2023	40	  180.959,00	BOB	LP-COMPENSACIONES	 25.999,86	USD
			COMPENSACIONES		113064804	14.04.2023	14.04.2023	50	-180.959,00	BOB	LP-COMPENSACIONES	-25.999,86	USD
			TARIJA		113065239	14.04.2023	14.04.2023	40	    4.462,90	BOB	LP. COMPENSACION TARIJA CCAJ-TA06/83/23	    641,22	USD
			TARIJA		113065239	14.04.2023	14.04.2023	50	-4.462,90	BOB	LP. COMPENSACION TARIJA CCAJ-TA06/83/23	-641,22	USD
			CCAJ-TA06/83/23		113064788	14.04.2023	14.04.2023	40	    4.462,90	BOB	LP.TRASP.CAJ.MN.AG. TARIJEÑITA A MCSC 1329 12.04	    641,22	USD
			TRANSFERENCIA		113065022	14.04.2023	14.04.2023	40	  157.092,00	BOB	LP-CUOTA AHORRO 14-04	 22.570,69	USD
					113065263	14.04.2023	14.04.2023	40	    1.089,78	BOB	SC DEPOSITO DE ROBIN HASSAN	    156,58	USD
			COMPENSACIONES		113064806	14.04.2023	14.04.2023	40	  229.000,00	BOB	LP-COMPENSACIONES	 32.902,30	USD
			COMPENSACIONES		113064806	14.04.2023	14.04.2023	50	-229.000,00	BOB	LP-COMPENSACIONES	-32.902,30	USD
			DISALTO		113065236	14.04.2023	14.04.2023	40	    2.143,10	BOB	LP. COMPENSACION DISALTO CCAJ-EA58/82/23	    307,92	USD
			DISALTO		113065236	14.04.2023	14.04.2023	50	-2.143,10	BOB	LP. COMPENSACION DISALTO CCAJ-EA58/82/23	-307,92	USD
			CCAJ-EA58/82/23		113064784	14.04.2023	14.04.2023	40	    2.143,10	BOB	LP.TRASP.CAJ.MN.AG. SATELITE A MCSC 6211 12.04	    307,92	USD
			CCAJ-EA10/154/20		113065587	14.04.2023	14.04.2023	40	   21.148,80	BOB		  3.038,62	USD
			COMPENSACIONES		113064807	14.04.2023	14.04.2023	40	  313.200,00	BOB	LP-COMPENSACIONES	 45.000,00	USD
			COMPENSACIONES		113064807	14.04.2023	14.04.2023	50	-313.200,00	BOB	LP-COMPENSACIONES	-45.000,00	USD
			TRANSFERENCIA		113065010	14.04.2023	14.04.2023	40	  122.000,00	BOB	LP-TRASPASO DE FONDOS	 17.528,74	USD
			TRANSFERENCIA		113065022	14.04.2023	14.04.2023	40	  208.800,00	BOB	LP-TRASPASO DE FONDOS	 30.000,00	USD
			COMPENSACION		113064809	14.04.2023	14.04.2023	40	   86.907,84	BOB	SC COMPENSACION BMSC 2476	 12.486,76	USD
			COMPENSACION		113064809	14.04.2023	14.04.2023	50	-86.907,84	BOB	SC COMPENSACION BMSC 2476	-12.486,76	USD
			COMPENSACION		113064822	14.04.2023	14.04.2023	40	        5,86	BOB	SC COMPENSACION BMSC 2476	      0,84	USD
			COMPENSACION		113064822	14.04.2023	14.04.2023	50	-5,86	BOB	SC COMPENSACION BMSC 2476	-0,84	USD
					113065188	14.04.2023	14.04.2023	40	   86.907,84	BOB	SC AHORRO DEL 140423	 12.486,76	USD
			COMPENSACION		113064824	14.04.2023	14.04.2023	40	  236.366,00	BOB	SC COMPENSACION BMSC 2984	 33.960,63	USD
			COMPENSACION		113064824	14.04.2023	14.04.2023	50	-236.366,00	BOB	SC COMPENSACION BMSC 2984	-33.960,63	USD
					113065253	14.04.2023	14.04.2023	40	   25.415,60	BOB	SC DEPOSITO SAGUAPAC	  3.651,67	USD
					113069514	14.04.2023	14.04.2023	40	    1.089,78	BOB	SC DEPOSITO DE ROBIN HASSAN	    156,58	USD
					113069613	14.04.2023	14.04.2023	40	      159,00	BOB	SC DEPOSITO DE CARLA VASQUEZ	     22,84	USD
					113069618	14.04.2023	14.04.2023	40	       30,00	BOB	SC DEPOSITO DE ALEJANDRA MORALES	      4,31	USD
			DISCRUZ		113065261	14.04.2023	14.04.2023	40	      742,50	BOB	LP. COMPENSACION DISCRUZ CCAJ-SC59/83/23	    106,68	USD
			DISCRUZ		113065261	14.04.2023	14.04.2023	50	-742,50	BOB	LP. COMPENSACION DISCRUZ CCAJ-SC59/83/23	-106,68	USD
			CCAJ-SC59/83/23		113064787	14.04.2023	14.04.2023	40	      742,50	BOB	LP.TRASP.CAJ.MN.AG. WARNES A MCSC 8183 13.04	    106,68	USD
			DISCRUZ		113065262	14.04.2023	14.04.2023	40	    1.719,00	BOB	LP. COMPENSACION DISCRUZ CCAJ-SC59/82/23	    246,98	USD
			DISCRUZ		113065262	14.04.2023	14.04.2023	50	-1.719,00	BOB	LP. COMPENSACION DISCRUZ CCAJ-SC59/82/23	-246,98	USD
			CCAJ-SC59/82/23		113065021	14.04.2023	14.04.2023	40	    1.719,00	BOB	LP.TRASP.CAJ.MN.AG. WARNES A MCSC 8183 12.04	    246,98	USD
			DISCRUZ		113065265	14.04.2023	14.04.2023	40	   84.357,40	BOB	LP. COMPENSACION DISCRUZ CCAJ-SC39/174/20	 12.120,31	USD
			DISCRUZ		113065265	14.04.2023	14.04.2023	50	-84.357,40	BOB	LP. COMPENSACION DISCRUZ CCAJ-SC39/174/20	-12.120,31	USD
			DISCRUZ		113065266	14.04.2023	14.04.2023	40	   31.451,01	BOB	LP. COMPENSACION DISCRUZ CCAJ-SC39/173/20	  4.518,82	USD
			DISCRUZ		113065266	14.04.2023	14.04.2023	50	-31.451,01	BOB	LP. COMPENSACION DISCRUZ CCAJ-SC39/173/20	-4.518,82	USD
			CCAJ-SC39/176/20		113065611	14.04.2023	14.04.2023	40	   34.927,50	BOB		  5.018,32	USD
			CCAJ-SC39/176/20		113065611	14.04.2023	14.04.2023	40	    3.554,80	BOB		    510,75	USD
			CCAJ-SC39/176/20		113065611	14.04.2023	14.04.2023	40	    2.577,60	BOB		    370,34	USD
			DISCRUZ		113065287	14.04.2023	14.04.2023	40	    7.294,40	BOB	LP. COMPENSACION DISCRUZ CCAJ-SC39/174/20	  1.048,05	USD
			DISCRUZ		113065287	14.04.2023	14.04.2023	50	-7.294,40	BOB	LP. COMPENSACION DISCRUZ CCAJ-SC39/174/20	-1.048,05	USD
			PANDO		113065289	14.04.2023	14.04.2023	40	      471,00	BOB	LP. COMPENSACION PANDO CCAJ-PN62/83/202	     67,67	USD
			PANDO		113065289	14.04.2023	14.04.2023	50	-471,00	BOB	LP. COMPENSACION PANDO CCAJ-PN62/83/202	-67,67	USD
					113065192	14.04.2023	14.04.2023	40	  400.000,00	BOB	SC TRASPASO DE FONDOS	 57.471,26	USD
			N/C POR TRASPASO E		2000341497	14.04.2023	14.04.2023	50	-400.000,00	BOB	N/C POR TRASPASO ENTRE BANCOS ACH	-57.471,26	USD
			N/C TRASP. DESDE M		2000341492	14.04.2023	14.04.2023	50	-15.032,38	BOB	N/C TRASP. DESDE MEJIA ARRIAZA DE ARTEAG	-2.159,82	USD
			CCAJ-TR47/85/202		113065465	14.04.2023	14.04.2023	40	      891,00	BOB		    128,02	USD
			CCAJ-TR47/85/202		113065465	14.04.2023	14.04.2023	40	   10.000,00	BOB		  1.436,78	USD
			CCAJ-TR47/85/202		113065465	14.04.2023	14.04.2023	40	    6.107,42	BOB		    877,50	USD
			CCAJ-SC39/176/20		113065611	14.04.2023	14.04.2023	40	      307,78	BOB		     44,22	USD
			CCAJ-SC39/176/20		113065611	14.04.2023	14.04.2023	40	   24.000,00	BOB		  3.448,28	USD
			CCAJ-SC39/176/20		113065611	14.04.2023	14.04.2023	40	   28.000,00	BOB		  4.022,99	USD
			DEPOSITO A CUENTA		2000341493	14.04.2023	14.04.2023	50	-28.000,00	BOB	DEPOSITO A CUENTA	-4.022,99	USD
			DEPOSITO A CUENTA		2000341494	14.04.2023	14.04.2023	50	-24.000,00	BOB	DEPOSITO A CUENTA	-3.448,28	USD
			N/C TRASP. DESDE S		2000341495	14.04.2023	14.04.2023	50	-307,78	BOB	N/C TRASP. DESDE SUPERMERCADO TOCALE SRL	-44,22	USD
			DEPOSITO A CUENTA		2000341491	14.04.2023	14.04.2023	50	-5.896,30	BOB	DEPOSITO A CUENTA	-847,17	USD
			N/C TRASP. DESDE S		2000341496	14.04.2023	14.04.2023	50	-433,00	BOB	N/C TRASP. DESDE SERVICIO CORPORATIVO DE	-62,21	USD
			N/C TRASP. DESDE R		2000341498	14.04.2023	14.04.2023	50	-3.308,00	BOB	N/C TRASP. DESDE RIOS YAVE JAVIER ROLAND	-475,29	USD
			DISALTO		113065249	14.04.2023	14.04.2023	40	   14.896,00	BOB	LP. COMPENSACION DISALTO CCAJ-EA10/152/20	  2.140,23	USD
			DISALTO		113065249	14.04.2023	14.04.2023	50	-14.896,00	BOB	LP. COMPENSACION DISALTO CCAJ-EA10/152/20	-2.140,23	USD
			POTOSI		113065250	14.04.2023	14.04.2023	40	    1.710,00	BOB	LP. COMPENSACION POTOSI CCAJ-PT53/71/202	    245,69	USD
			POTOSI		113065250	14.04.2023	14.04.2023	50	-1.710,00	BOB	LP. COMPENSACION POTOSI CCAJ-PT53/71/202	-245,69	USD
			DISPAZ		113065252	14.04.2023	14.04.2023	40	   12.000,00	BOB	LP. COMPENSACION DISPAZ CCAJ-LP02/158/20	  1.724,14	USD
			DISPAZ		113065252	14.04.2023	14.04.2023	50	-12.000,00	BOB	LP. COMPENSACION DISPAZ CCAJ-LP02/158/20	-1.724,14	USD
			CCAJ-PT53/72/202		113065680	14.04.2023	14.04.2023	40	   19.580,00	BOB		  2.813,22	USD
			CCAJ-PT53/72/202		113065680	14.04.2023	14.04.2023	40	   13.450,00	BOB		  1.932,47	USD
			CCAJ-PT53/72/202		113065680	14.04.2023	14.04.2023	40	   23.048,82	BOB		  3.311,61	USD
			CCAJ-TA43/85/202		113067979	14.04.2023	14.04.2023	40	      927,90	BOB		    133,32	USD
			COMPENSACIONES		113064810	14.04.2023	14.04.2023	40	  544.199,00	BOB	LP-COMPENSACIONES	 78.189,51	USD
			DISPAZ		113065245	14.04.2023	14.04.2023	50	-238,96	BOB	LP. COMPENSACION DISPAZ CCAJ-LP07/77/23	-34,33	USD
			DISPAZ		113065247	14.04.2023	14.04.2023	40	      107,74	BOB	LP. COMPENSACION DISPAZ CCAJ-LP08/84/23	     15,48	USD
			DISPAZ		113065247	14.04.2023	14.04.2023	50	-107,74	BOB	LP. COMPENSACION DISPAZ CCAJ-LP08/84/23	-15,48	USD
			DISPAZ		113065248	14.04.2023	14.04.2023	40	    2.678,53	BOB	LP. COMPENSACION DISPAZ CCAJ-LP02/158/20	    384,85	USD
			DISPAZ		113065248	14.04.2023	14.04.2023	50	-2.678,53	BOB	LP. COMPENSACION DISPAZ CCAJ-LP02/158/20	-384,85	USD
			TRANSFERENCIA		113065022	14.04.2023	14.04.2023	40	   40.000,00	BOB	LP-TRASPASO DE FONDOS	  5.747,13	USD
			TRANSFERENCIA		113065022	14.04.2023	14.04.2023	40	   80.000,00	BOB	LP-TRASPASO DE FONDOS	 11.494,25	USD
			CCAJ-LP08/85/23		113065573	14.04.2023	14.04.2023	40	       84,99	BOB		     12,21	USD
			COMPENSACION		113064837	14.04.2023	14.04.2023	40	  250.000,00	BOB	SC COMPENSACION BCP 5359	 35.919,54	USD
			COMPENSACION		113064837	14.04.2023	14.04.2023	50	-250.000,00	BOB	SC COMPENSACION BCP 5359	-35.919,54	USD
			DISCRUZ		113065267	14.04.2023	14.04.2023	40	      625,24	BOB	LP. COMPENSACION DISCRUZ CCAJ-SC65/83/23	     89,83	USD
			DISCRUZ		113065267	14.04.2023	14.04.2023	50	-625,24	BOB	LP. COMPENSACION DISCRUZ CCAJ-SC65/83/23	-89,83	USD
			TRINIDAD		113065268	14.04.2023	14.04.2023	40	      400,00	BOB	LP. COMPENSACION TRINIDAD CCAJ-TR50/83/23	     57,47	USD
			TRINIDAD		113065268	14.04.2023	14.04.2023	50	-400,00	BOB	LP. COMPENSACION TRINIDAD CCAJ-TR50/83/23	-57,47	USD
			SUCRE		113065272	14.04.2023	14.04.2023	40	       23,99	BOB	LP. COMPENSACION SUCRE CCAJ-SR24/83/23	      3,45	USD
			SUCRE		113065272	14.04.2023	14.04.2023	50	-23,99	BOB	LP. COMPENSACION SUCRE CCAJ-SR24/83/23	-3,45	USD
			COCHABAMBA		113065279	14.04.2023	14.04.2023	40	       82,39	BOB	LP. COMPENSACION COCHABAMBA CCAJ-CB12/146/23	     11,84	USD
			COCHABAMBA		113065279	14.04.2023	14.04.2023	50	-82,39	BOB	LP. COMPENSACION COCHABAMBA CCAJ-CB12/146/23	-11,84	USD
			COCHABAMBA		113065281	14.04.2023	14.04.2023	40	       21,96	BOB	LP. COMPENSACION COCHABAMBA CCAJ-CB12/144/23	      3,16	USD
			COCHABAMBA		113065281	14.04.2023	14.04.2023	50	-21,96	BOB	LP. COMPENSACION COCHABAMBA CCAJ-CB12/144/23	-3,16	USD
			DISCRUZ		113065286	14.04.2023	14.04.2023	40	   21.187,58	BOB	LP. COMPENSACION DISCRUZ CCAJ-SC39/174/20	  3.044,18	USD
			DISCRUZ		113065286	14.04.2023	14.04.2023	50	-21.187,58	BOB	LP. COMPENSACION DISCRUZ CCAJ-SC39/174/20	-3.044,18	USD
					113065192	14.04.2023	14.04.2023	40	  100.000,00	BOB	SC TRASPASO DE FONDOS	 14.367,82	USD
					113065195	14.04.2023	14.04.2023	40	  500.000,00	BOB	SC TRASPASO DE FONDOS	 71.839,08	USD
			CCAJ-CB11/88/202		113065608	14.04.2023	14.04.2023	40	    3.287,00	BOB		    472,27	USD
			CCAJ-CB12/148/23		113065568	14.04.2023	14.04.2023	40	       67,10	BOB		      9,64	USD
			CCAJ-CB13/84/23		113065541	14.04.2023	14.04.2023	40	      106,49	BOB		     15,30	USD
			CCAJ-TA06/85/23		113065517	14.04.2023	14.04.2023	40	      308,44	BOB		     44,32	USD
			CCAJ-SR24/84/23		113065571	14.04.2023	14.04.2023	40	       68,91	BOB		      9,90	USD
			CCAJ-SC57/84/23		113065574	14.04.2023	14.04.2023	40	      312,17	BOB		     44,85	USD
			CCAJ-SC39/176/20		113065611	14.04.2023	14.04.2023	40	    6.875,00	BOB		    987,79	USD
			CCAJ-SC39/176/20		113065611	14.04.2023	14.04.2023	40	      161,00	BOB		     23,13	USD
			CCAJ-SC39/176/20		113065611	14.04.2023	14.04.2023	40	      197,39	BOB		     28,36	USD
			CCAJ-SC39/176/20		113065611	14.04.2023	14.04.2023	40	      201,88	BOB		     29,01	USD
			CCAJ-SC39/176/20		113065611	14.04.2023	14.04.2023	40	      656,11	BOB		     94,27	USD
			CCAJ-SC39/176/20		113065611	14.04.2023	14.04.2023	40	       82,85	BOB		     11,90	USD
			CCAJ-SC39/176/20		113065611	14.04.2023	14.04.2023	40	    1.950,00	BOB		    280,17	USD
			CCAJ-SC39/176/20		113065611	14.04.2023	14.04.2023	40	       84,00	BOB		     12,07	USD
