18.05.2023                                    Salida dinámica de lista                                                                                          1


 Cta.mayor				*
 Sociedad				GV01


		 St	Asignación		Nº doc.	Fecha doc.	Fe.contab.	CT	 Importe en ML	ML	Texto	    ImpteML2	ML2	Lib.mayor

			TRANSFERENCIA		113302657	17.05.2023	17.05.2023	40	   372.855,00	BOB	LP-CUOTA AHORRO 17-05	  53.571,12	USD	101041002
			COMPENSACIONES		113302231	17.05.2023	17.05.2023	40	 1.206.000,00	BOB	LP-COMPENSACIONES	 173.275,86	USD	101041002
			COMPENSACIONES		113302231	17.05.2023	17.05.2023	50	-1.206.000,00	BOB	LP-COMPENSACIONES	-173.275,86	USD	101041002
			TARIJA		113303200	17.05.2023	17.05.2023	40	     4.352,60	BOB	LP. COMPENSACION TARIJA CCAJ-TA06/109/23	     625,37	USD	101041002
			TARIJA		113303200	17.05.2023	17.05.2023	50	-4.352,60	BOB	LP. COMPENSACION TARIJA CCAJ-TA06/109/23	-625,37	USD	101041002
			CCAJ-TA06/109/23		113302789	17.05.2023	17.05.2023	40	     4.352,60	BOB	LP.TRASP.CAJ.MN.AG. TARIJEÑITA A MCSC 1329 15.05	     625,37	USD	101041002
			TRANSFERENCIA		113302657	17.05.2023	17.05.2023	40	   500.000,00	BOB	LP-TRASPASO DE FONDOS	  71.839,08	USD	101041012
			COMPENSACIONES		113302233	17.05.2023	17.05.2023	40	   500.000,00	BOB	LP-COMPENSACIONES	  71.839,08	USD	101041012
			COMPENSACIONES		113302233	17.05.2023	17.05.2023	50	-500.000,00	BOB	LP-COMPENSACIONES	-71.839,08	USD	101041012
			DISALTO		113303199	17.05.2023	17.05.2023	40	     1.754,50	BOB	LP. COMPENSACION DISALTO CCAJ-EA58/109/23	     252,08	USD	101041012
			DISALTO		113303199	17.05.2023	17.05.2023	50	-1.754,50	BOB	LP. COMPENSACION DISALTO CCAJ-EA58/109/23	-252,08	USD	101041012
			CCAJ-EA58/109/23		113302785	17.05.2023	17.05.2023	40	     1.754,50	BOB	LP.TRASP.CAJ.MN.AG. SATELITE A MCSC 6211 15.05	     252,08	USD	101041012
			COMPENSACIONES		113302409	17.05.2023	17.05.2023	40	   150.000,00	BOB	LP-COMPENSACIONES	  21.551,72	USD	101041022
			COMPENSACIONES		113302409	17.05.2023	17.05.2023	50	-150.000,00	BOB	LP-COMPENSACIONES	-21.551,72	USD	101041022
			COMPENSACIONES		113302756	17.05.2023	17.05.2023	40	     6.327,70	BOB	LP-COMPENSACIONES	     909,14	USD	101041022
			COMPENSACIONES		113302756	17.05.2023	17.05.2023	50	-6.327,70	BOB	LP-COMPENSACIONES	-909,14	USD	101041022
			6481-4078222		113302749	17.05.2023	17.05.2023	40	        77,70	BOB	LP-DEP X VTA DE CHATARRA-ACEBEY	      11,16	USD	101041022
			6481-4078222		113302749	17.05.2023	17.05.2023	40	        85,00	BOB	LP-DEP X VTA DE CHATARRA-MIGUEL GONZALES	      12,21	USD	101041022
			6481-4078222		113302749	17.05.2023	17.05.2023	40	       115,00	BOB	LP-DEP X VTA DE CHATARRA-REYNALDO APAZA	      16,52	USD	101041022
			6481-4078222		113302749	17.05.2023	17.05.2023	40	       160,00	BOB	LP-DEP X VTA DE CHATARRA-JOSE LUIS CALERO	      22,99	USD	101041022
			6481-4078222		113302749	17.05.2023	17.05.2023	40	       390,00	BOB	LP-DEP X VTA DE CHATARRA-AJATA	      56,03	USD	101041022
			17973205		1900241963	17.05.2023	17.05.2023	40	     5.500,00	BOB	LP-DEP SALDO F.RENDIR FERNANDO VARGAS	     790,23	USD	101041022
			COMPENSACIONES		113302411	17.05.2023	17.05.2023	40	   150.000,00	BOB	LP-COMPENSACIONES	  21.551,72	USD	101041032
			COMPENSACIONES		113302411	17.05.2023	17.05.2023	50	-150.000,00	BOB	LP-COMPENSACIONES	-21.551,72	USD	101041032
					113302741	17.05.2023	17.05.2023	40	   419.703,14	BOB	SC AHORRO DEL 170523	  60.302,18	USD	101041042
			CCAJ-SC39/235/20		113303367	17.05.2023	17.05.2023	40	     1.129,00	BOB		     162,21	USD	101041082
			CCAJ-SC39/235/20		113303367	17.05.2023	17.05.2023	40	     2.849,98	BOB		     409,48	USD	101041082
			CCAJ-SC39/235/20		113303367	17.05.2023	17.05.2023	40	     1.560,00	BOB		     224,14	USD	101041082
			CCAJ-SC39/235/20		113303367	17.05.2023	17.05.2023	40	    13.281,38	BOB		   1.908,24	USD	101041082
			CCAJ-SC39/235/20		113303367	17.05.2023	17.05.2023	40	     1.288,80	BOB		     185,17	USD	101041082
			CCAJ-SC39/235/20		113303367	17.05.2023	17.05.2023	40	    60.677,00	BOB		   8.717,96	USD	101041082
			DISCRUZ		113303213	17.05.2023	17.05.2023	40	       842,90	BOB	LP. COMPENSACION DISCRUZ CCAJ-SC59/110/23	     121,11	USD	101041082
			DISCRUZ		113303213	17.05.2023	17.05.2023	50	-842,90	BOB	LP. COMPENSACION DISCRUZ CCAJ-SC59/110/23	-121,11	USD	101041082
			CCAJ-SC59/110/23		113302788	17.05.2023	17.05.2023	40	       842,90	BOB	LP.TRASP.CAJ.MN.AG. WARNES A MCSC 8183 15.05	     121,11	USD	101041082
			DISCRUZ		113303214	17.05.2023	17.05.2023	40	    55.165,30	BOB	LP. COMPENSACION DISCRUZ CCAJ-SC39/233/20	   7.926,05	USD	101041082
			DISCRUZ		113303214	17.05.2023	17.05.2023	50	-55.165,30	BOB	LP. COMPENSACION DISCRUZ CCAJ-SC39/233/20	-7.926,05	USD	101041082
					113302751	17.05.2023	17.05.2023	40	   100.000,00	BOB	SC TRASPASO DE FONDOS	  14.367,82	USD	101042012
			CCAJ-TR47/112/20		113302983	17.05.2023	17.05.2023	40	       639,74	BOB		      91,92	USD	101042012
			CCAJ-TR47/112/20		113302983	17.05.2023	17.05.2023	40	       480,00	BOB		      68,97	USD	101042012
			CCAJ-SC39/235/20		113303367	17.05.2023	17.05.2023	40	    60.000,00	BOB		   8.620,69	USD	101042012
			TRINIDAD		113303221	17.05.2023	17.05.2023	40	       614,40	BOB	LP. COMPENSACION TRINIDAD CCAJ-TR47/111/20	      88,28	USD	101042012
			TRINIDAD		113303221	17.05.2023	17.05.2023	50	-614,40	BOB	LP. COMPENSACION TRINIDAD CCAJ-TR47/111/20	-88,28	USD	101042012
			COCHABAMBA		113303222	17.05.2023	17.05.2023	40	    12.559,35	BOB	LP. COMPENSACION COCHABAMBA CCAJ-CB11/116/20	   1.804,50	USD	101042012
			COCHABAMBA		113303222	17.05.2023	17.05.2023	50	-12.559,35	BOB	LP. COMPENSACION COCHABAMBA CCAJ-CB11/116/20	-1.804,50	USD	101042012
			CCAJ-EA10/204/20		113303043	17.05.2023	17.05.2023	40	    11.744,52	BOB		   1.687,43	USD	101042022
			CCAJ-TA43/114/20		113303165	17.05.2023	17.05.2023	40	     5.470,10	BOB		     785,93	USD	101042022
			POTOSI		113303204	17.05.2023	17.05.2023	40	    23.717,72	BOB	LP. COMPENSACION POTOSI CCAJ-PT53/95/202	   3.407,72	USD	101042022
			POTOSI		113303204	17.05.2023	17.05.2023	50	-23.717,72	BOB	LP. COMPENSACION POTOSI CCAJ-PT53/95/202	-3.407,72	USD	101042022
			TARIJA		113303206	17.05.2023	17.05.2023	40	    43.456,50	BOB	LP. COMPENSACION TARIJA CCAJ-TA43/113/20	   6.243,75	USD	101042022
			TARIJA		113303206	17.05.2023	17.05.2023	50	-43.456,50	BOB	LP. COMPENSACION TARIJA CCAJ-TA43/113/20	-6.243,75	USD	101042022
			TRANSFERENCIA		113302657	17.05.2023	17.05.2023	40	   142.000,00	BOB	LP-TRASPASO DE FONDOS	  20.402,30	USD	101043002
			TRANSFERENCIA		113302657	17.05.2023	17.05.2023	40	    80.000,00	BOB	LP-TRASPASO DE FONDOS	  11.494,25	USD	101043002
			CCAJ-LP02/212/20		113303076	17.05.2023	17.05.2023	40	     2.040,51	BOB		     293,18	USD	101043002
			CCAJ-LP08/112/23		113303240	17.05.2023	17.05.2023	40	       126,46	BOB		      18,17	USD	101043002
			COMPENSACIONES		113302534	17.05.2023	17.05.2023	40	   153.000,00	BOB	LP-COMPENSACIONES	  21.982,76	USD	101043002
			COMPENSACIONES		113302534	17.05.2023	17.05.2023	50	-153.000,00	BOB	LP-COMPENSACIONES	-21.982,76	USD	101043002
			DISPAZ		113303202	17.05.2023	17.05.2023	40	       691,70	BOB	LP. COMPENSACION DISPAZ CCAJ-LP08/111/23	      99,38	USD	101043002
			DISPAZ		113303202	17.05.2023	17.05.2023	50	-691,70	BOB	LP. COMPENSACION DISPAZ CCAJ-LP08/111/23	-99,38	USD	101043002
			DISPAZ		113303203	17.05.2023	17.05.2023	40	     3.353,30	BOB	LP. COMPENSACION DISPAZ CCAJ-LP02/210/20	     481,80	USD	101043002
			DISPAZ		113303203	17.05.2023	17.05.2023	50	-3.353,30	BOB	LP. COMPENSACION DISPAZ CCAJ-LP02/210/20	-481,80	USD	101043002
					113302743	17.05.2023	17.05.2023	40	   100.000,00	BOB	SC TRASPASO DE FONDOS	  14.367,82	USD	101043042
			CCAJ-SR54/111/23		113303175	17.05.2023	17.05.2023	40	        51,81	BOB		       7,44	USD	101043042
			CCAJ-CB13/111/23		113303253	17.05.2023	17.05.2023	40	        32,24	BOB		       4,63	USD	101043042
			CCAJ-SC39/235/20		113303367	17.05.2023	17.05.2023	40	        94,00	BOB		      13,51	USD	101043042
			CCAJ-SC39/235/20		113303367	17.05.2023	17.05.2023	40	       887,72	BOB		     127,55	USD	101043042
			CCAJ-SC39/235/20		113303367	17.05.2023	17.05.2023	40	       210,00	BOB		      30,17	USD	101043042
			CCAJ-SC39/235/20		113303367	17.05.2023	17.05.2023	40	     3.528,00	BOB		     506,90	USD	101043042
			CCAJ-SC39/235/20		113303367	17.05.2023	17.05.2023	40	     1.515,80	BOB		     217,79	USD	101043042
			CCAJ-SC39/235/20		113303367	17.05.2023	17.05.2023	40	       145,00	BOB		      20,83	USD	101043042
			CCAJ-SC39/235/20		113303367	17.05.2023	17.05.2023	40	       595,11	BOB		      85,50	USD	101043042
			CCAJ-SC39/235/20		113303367	17.05.2023	17.05.2023	40	       715,00	BOB		     102,73	USD	101043042
			CCAJ-SC39/235/20		113303367	17.05.2023	17.05.2023	40	       370,44	BOB		      53,22	USD	101043042
			CCAJ-SC39/235/20		113303367	17.05.2023	17.05.2023	40	       447,86	BOB		      64,35	USD	101043042
			CCAJ-SC39/235/20		113303367	17.05.2023	17.05.2023	40	       620,34	BOB		      89,13	USD	101043042
